mode,activity,demand_interval,execution_interval,workers
waes,1,1,1,1.0
waes,1,1,2,5.0
waes,1,1,9,2.0
waes,1,1,10,2.0
waes,1,1,11,1.0
waes,1,2,2,5.0
waes,1,2,8,1.0
waes,1,2,9,3.0
waes,1,2,11,1.0
waes,1,3,3,2.0
waes,1,3,8,3.0
waes,1,3,9,2.0
waes,1,4,4,3.0
waes,1,4,6,2.0
waes,1,4,7,3.0
waes,1,5,5,6.0
waes,1,5,7,1.0
waes,1,6,6,4.0
waes,1,6,7,2.0
waes,1,7,7,7.0
waes,1,7,8,2.0
waes,1,8,8,9.0
waes,1,8,11,1.0
waes,1,9,9,6.0
waes,1,9,10,3.0
waes,6,5,5,3.0
waes,6,6,6,3.0
waes,6,7,7,2.0
waes,6,8,8,1.0
waes,7,1,1,7.0
waes,7,2,2,1.0
waes,7,2,3,7.0
waes,7,3,3,5.0
waes,7,4,4,4.0
waes,8,5,5,6.0
waes,8,6,6,5.0
waes,8,7,7,3.0
waes,8,8,8,2.0
