mode,profile,interval,shift,activity,workers
waes,1,1,1,1,1.0
waes,1,1,1,7,7.0
waes,1,2,1,1,8.0
waes,1,2,1,7,1.0
waes,1,2,2,1,2.0
waes,1,3,1,1,2.0
waes,1,3,1,7,7.0
waes,1,3,2,7,2.0
waes,1,3,3,7,3.0
waes,1,4,1,1,1.0
waes,1,4,1,7,1.0
waes,1,4,2,7,2.0
waes,1,4,3,1,2.0
waes,1,4,3,7,1.0
waes,1,5,1,1,6.0
waes,1,5,1,8,2.0
waes,1,5,3,8,3.0
waes,1,5,11,8,1.0
waes,6,5,11,6,3.0
waes,1,6,1,1,3.0
waes,1,6,1,8,5.0
waes,1,6,2,1,2.0
waes,1,6,11,1,1.0
waes,6,6,11,6,3.0
waes,1,7,1,1,9.0
waes,1,7,2,1,2.0
waes,1,7,3,8,3.0
waes,1,7,11,1,1.0
waes,6,7,11,1,1.0
waes,6,7,11,6,2.0
waes,1,8,1,1,8.0
waes,1,8,1,8,1.0
waes,1,8,2,1,2.0
waes,1,8,3,1,3.0
waes,1,8,11,8,1.0
waes,6,8,11,1,2.0
waes,6,8,11,6,1.0
waes,1,9,1,1,8.0
waes,1,9,2,1,2.0
waes,1,9,3,1,3.0
waes,1,10,2,1,2.0
waes,1,10,3,1,3.0
waes,1,11,3,1,3.0
