mode,profile,interval,shift,activity,workers
ws,1,1,1,1,6.999999999999999
ws,1,1,1,7,6.999999999999999
ws,6,1,1,1,1.0
ws,1,1,7,1,2.0
ws,7,1,7,1,1.0000000000000009
ws,1,2,1,1,5.999999999999999
ws,1,2,1,7,8.0
ws,6,2,1,1,1.0
ws,1,2,7,1,2.0
ws,7,2,7,1,1.0000000000000007
ws,1,3,1,1,7.0
ws,1,3,1,7,2.9999999999999996
ws,1,3,7,7,2.0
ws,1,4,1,1,0.9999999999999993
ws,1,4,1,7,4.0
ws,6,4,1,1,1.0
ws,1,4,7,1,2.0
ws,7,4,7,1,1.0000000000000009
ws,6,4,9,1,1.0
ws,6,4,10,1,2.0
ws,1,5,1,1,6.999999999999999
ws,1,5,1,8,6.0
ws,6,5,9,6,1.0000000000000002
ws,6,5,10,6,2.0
ws,1,6,1,1,4.999999999999999
ws,1,6,1,8,5.0
ws,6,6,1,6,1.0
ws,6,6,9,1,1.0
ws,6,6,10,6,2.0
ws,1,7,1,1,9.0
ws,1,7,1,8,3.0
ws,6,7,10,6,2.0
ws,1,8,1,1,10.0
ws,1,8,1,8,2.0
ws,6,8,1,6,1.0
ws,1,9,1,1,9.0
