mode,interval,activity,workers
ws,1,1,11.0
ws,1,6,0.0
ws,1,7,6.999999999999999
ws,1,8,0.0
ws,2,1,10.0
ws,2,6,0.0
ws,2,7,8.0
ws,2,8,0.0
ws,3,1,7.0
ws,3,6,0.0
ws,3,7,5.0
ws,3,8,0.0
ws,4,1,8.0
ws,4,6,0.0
ws,4,7,4.0
ws,4,8,0.0
ws,5,1,6.999999999999999
ws,5,6,3.0
ws,5,7,0.0
ws,5,8,6.0
ws,6,1,5.999999999999999
ws,6,6,3.0
ws,6,7,0.0
ws,6,8,5.0
ws,7,1,9.0
ws,7,6,2.0
ws,7,7,0.0
ws,7,8,3.0
ws,8,1,10.0
ws,8,6,1.0
ws,8,7,0.0
ws,8,8,2.0
ws,9,1,9.0
ws,9,6,0.0
ws,9,7,0.0
ws,9,8,0.0
ws,10,1,0.0
ws,10,6,0.0
ws,10,7,0.0
ws,10,8,0.0
ws,11,1,0.0
ws,11,6,0.0
ws,11,7,0.0
ws,11,8,0.0
ws,12,1,0.0
ws,12,6,0.0
ws,12,7,0.0
ws,12,8,0.0
ws,13,1,0.0
ws,13,6,0.0
ws,13,7,0.0
ws,13,8,0.0
ws,14,1,0.0
ws,14,6,0.0
ws,14,7,0.0
ws,14,8,0.0
